episode_id,series_id,episode_name,length,season_num,episode_num
251,5,The Trial,22,2,47
252,5,"Camdenites, Part 1",22,3,48
253,5,"Camdenites, Part 2",22,3,49
254,5,The Gangs of Camden County,22,3,50
255,5,The Frank Factor,22,3,51
256,5,Creative Writing,22,3,52
257,5,"Frank's Girl, Part 2",22,3,53
258,5,Our Other Cops Is On!: Part 1,22,3,54
259,5,Our Other Cops Is On!: Part 2,22,3,55
260,5,Randy in Charge,22,3,56
261,5,Midnight Bun,22,3,57
262,5,Burn Victim,22,3,58
263,5,Early Release,22,3,59
264,5,Bad Earl,22,3,60
265,5,I Won't Die With a Little Help From My Friends: Part 1,22,3,61
266,5,I Won't Die With a Little Help From My Friends: Part 2,22,3,62
267,5,Stole a Motorcycle,22,3,63
268,5,No Heads and a Duffel Bag,22,3,64
269,5,Killerball,22,3,65
270,5,Love Octagon,22,3,66
271,5,Girl Earl,22,3,67
272,5,"Camdenites, Part 1",22,3,68
273,5,"Camdenites, Part 2",22,3,69
274,5,The Magic Hour,22,4,70
275,5,Monkeys Take a Bath,22,4,71
276,5,Joy in a Bubble,22,4,72
277,5,Stole an RV,22,4,73
278,5,Sweet Johnny,22,4,74
279,5,We've Got Spirit,22,4,75
280,5,Quit Your Snitchin',22,4,76
281,5,Little Bad Voodoo Brother,22,4,77
282,5,Sold a Guy a Lemon Car,22,4,78
283,5,Earl and Joy's Anniversary,22,4,79
284,5,Nature's Game Show,22,4,80
285,5,Reading Is a Funda Mental Case,22,4,81
286,5,Orphan Earl,22,4,82
287,5,Got the Babysitter Pregnant,22,4,83
288,5,Darnell Outed: Part 1,22,4,84
289,5,Darnell Outed: Part 2,22,4,85
290,5,Randy's List Item,22,4,86
291,5,Friends with Benefits,22,4,87
292,5,My Name Is Alias,22,4,88
293,5,Chaz Dalton's Space Academy,22,4,89
294,5,Witch Lady,22,4,90
295,5,Pinky,22,4,91
296,5,Bullies,22,4,92
297,5,Gospel,22,4,93
298,5,Inside Probe: Part 1,22,4,94
299,5,Inside Probe: Part 2,22,4,95
300,5,Dodge's Dad,22,4,96
